,Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
1019,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.9,2.38
1020,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.2,1.11
1021,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.4,0.25
1022,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,0,-0.8,-0.57
1023,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,24,2.7
1024,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,21.4,3
1025,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,16.7,2.67
1026,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,9.1,1.63
1027,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.8,0.75
1028,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,1.7,0.4
1029,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,0.9,0.28
1030,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,1500,23.1,2.49
1031,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,1000,19.8,2.82
1032,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,500,14.2,2.54
1033,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,200,5.8,1.12
1034,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,100,2.2,0.55
1035,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,50,0.4,0.13
1036,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,0,-1,-0.39
1037,PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,21.9,2.88
1038,PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,19.9,3.08
1039,PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,14.4,2.84
1040,PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,8.2,1.86
1041,PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.5,0.93
1042,PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,1.4,0.43
1043,PTY3,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,0,0
1044,PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,22,2.84
1045,PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,19.5,3.26
1046,PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,13.7,2.91
1047,PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,6.5,1.54
1048,PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,2.3,0.64
1049,PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,0.2,0.06
1050,PTY4,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,-1.1,-0.38
1051,PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,1500,28.7,3.22
1052,PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,1000,25.8,3.74
1053,PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,500,21.6,3.03
1054,PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,200,9,1.59
1055,PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,100,6.2,1.18
1056,PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,50,2.1,0.46
1057,PTY4CU,2017,Phragmites,Phragmites_Typha,Typha,Without competition,0,0.8,0.2
1058,PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,1500,21.9,2.52
1059,PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,1000,18.6,3
1060,PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,500,13.4,2.82
1061,PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,200,6.8,1.47
1062,PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,100,3.1,0.72
1063,PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,50,1,0.27
1064,PTY5,2017,Phragmites,Phragmites_Typha,Typha,Competition,0,-0.2,-0.06
