Site,Year,Species,Phytometer,Neighbour,Treatment,Light intensity,Carbon Assimilation,WUE
PCC5CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1000,17.9,2.36
PCC5CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,500,13.7,1.87
PCC5CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,200,7.2,1.08
PCC5CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,100,3.6,0.63
PCC5CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,50,2,0.57
PCC5CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,0,0.7,0.33
PCC6,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,18.4,2.83
PCC6,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,17,2.69
PCC6,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,12.5,2.06
PCC6,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,6,1.12
PCC6,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2.3,0.53
PCC6,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.3,0.09
PCC6,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.8,-0.29
PCC6CU,2016,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.7,2.91
